date,location_id/.id,name,filter,accounting_date
2017-10-31,19,Inventario 00101 - Almacén General Valledupar 2017-10-31,partial,2017-10-31
2017-10-31,31,Inventario 00102 - Almacen De Microingredientes 2017-10-31,partial,2017-10-31
2017-10-31,00110 - Almacén De Producto Terminado (Ater) Valledupar,Inventario 00110 - Almacén De Producto Terminado (Ater) Valledupar 2017-10-31,partial,2017-10-31
2017-10-31,413,Inventario 00112 - Bodega Transitoria Producto Paseo 2017-10-31,partial,2017-10-31
2017-10-31,00113 - Bodega Punto De Venta Deliklaren'S,Inventario 00113 - Bodega Punto De Venta Deliklaren'S 2017-10-31,partial,2017-10-31
2017-10-31,00115 - Bodega De Productos Semielaborados,Inventario 00115 - Bodega De Productos Semielaborados 2017-10-31,partial,2017-10-31
2017-10-31,415,Inventario 00116 - Bodega De Empaques 2017-10-31,partial,2017-10-31
2017-10-31,00120 - Facturacion Leche,Inventario 00120 - Facturacion Leche 2017-10-31,partial,2017-10-31
2017-10-31,418,Inventario 00150 - Productos Mal Estado 2017-10-31,partial,2017-10-31
2017-10-31,421,Inventario 00161 - Bodega Calidad 2017-10-31,partial,2017-10-31
2017-10-31,423,Inventario 001Bc - Bodega Embalaje General Valledupar 2017-10-31,partial,2017-10-31
2017-10-31,001Bm - Bodega Metroparqueater Valledupar,Inventario 001Bm - Bodega Metroparqueater Valledupar 2017-10-31,partial,2017-10-31
2017-10-31,425,Inventario 001Bt - Bodega Venta Terceros 2017-10-31,partial,2017-10-31
2017-10-31,001Bv - Bodega De Vendedores Y/O Distribuidores,Inventario 001Bv - Bodega De Vendedores Y/O Distribuidores 2017-10-31,partial,2017-10-31
2017-10-31,429,Inventario 001C2 - Bodega Ruta 0102 2017-10-31,partial,2017-10-31
2017-10-31,430,Inventario 001C3 - Bodega Ruta 0103 2017-10-31,partial,2017-10-31
2017-10-31,436,Inventario 001C9 - Bodega Ruta 0109 2017-10-31,partial,2017-10-31
2017-10-31,442,Inventario 001Cf - Bodega Ruta 0119 2017-10-31,partial,2017-10-31
2017-10-31,443,Inventario 001Ch - Bodega Ruta 0128 2017-10-31,partial,2017-10-31
2017-10-31,444,Inventario 001Ci - Bodega Ruta 0129 2017-10-31,partial,2017-10-31
2017-10-31,445,Inventario 001Cj - Bodega Ruta 0116 2017-10-31,partial,2017-10-31
2017-10-31,450,Inventario 001Co - Bodega Ruta 0125 2017-10-31,partial,2017-10-31
2017-10-31,452,Inventario 001Cq - Bodega Ruta 0128 2017-10-31,partial,2017-10-31
2017-10-31,454,Inventario 001Ct - Bodega Almendrales Valiente 2017-10-31,partial,2017-10-31
2017-10-31,001Ht - Bodega Para Produccion Leche Uht,Inventario 001Ht - Bodega Para Produccion Leche Uht 2017-10-31,partial,2017-10-31
2017-10-31,457,Inventario 001Ll - Bodega Maquila Ciledco 2017-10-31,partial,2017-10-31
2017-10-31,458,Inventario 001Lp - Bodega Maquila De Leche En Polvo 2017-10-31,partial,2017-10-31
2017-10-31,001Ma - Bodega De Mantenimiento,Inventario 001Ma - Bodega De Mantenimiento 2017-10-31,partial,2017-10-31
2017-10-31,462,Inventario 001Mi - Bodega De Laboratorio 2017-10-31,partial,2017-10-31
