ciiu_id/.id,city_id/.id,tax_id/.id
1011,"Bogota, D.C.",4.14
1012,"Bogota, D.C.",4.14
1030,"Bogota, D.C.",4.14
1051,"Bogota, D.C.",4.14
1052,"Bogota, D.C.",4.14
1062,"Bogota, D.C.",4.14
1063,"Bogota, D.C.",4.14
1071,"Bogota, D.C.",4.14
1072,"Bogota, D.C.",4.14
1081,"Bogota, D.C.",4.14
1082,"Bogota, D.C.",4.14
1083,"Bogota, D.C.",4.14
1084,"Bogota, D.C.",4.14
1089,"Bogota, D.C.",4.14
1090,"Bogota, D.C.",4.14
1410,"Bogota, D.C.",4.14
1521,"Bogota, D.C.",4.14
1522,"Bogota, D.C.",4.14
10201,"Bogota, D.C.",4.14
10401,"Bogota, D.C.",4.14
14201,"Bogota, D.C.",4.14
14301,"Bogota, D.C.",4.14
58113,"Bogota, D.C.",4.14
2410,"Bogota, D.C.",6.9
2431,"Bogota, D.C.",6.9
2432,"Bogota, D.C.",11.04
2910,"Bogota, D.C.",6.9
2920,"Bogota, D.C.",6.9
2930,"Bogota, D.C.",6.9
3011,"Bogota, D.C.",6.9
3012,"Bogota, D.C.",6.9
3020,"Bogota, D.C.",6.9
3030,"Bogota, D.C.",6.9
3040,"Bogota, D.C.",6.9
3091,"Bogota, D.C.",6.9
3092,"Bogota, D.C.",6.9
3099,"Bogota, D.C.",6.9
510,"Bogota, D.C.",11.04
520,"Bogota, D.C.",11.04
610,"Bogota, D.C.",11.04
620,"Bogota, D.C.",11.04
710,"Bogota, D.C.",11.04
721,"Bogota, D.C.",11.04
722,"Bogota, D.C.",11.04
723,"Bogota, D.C.",11.04
729,"Bogota, D.C.",11.04
811,"Bogota, D.C.",11.04
812,"Bogota, D.C.",11.04
820,"Bogota, D.C.",11.04
891,"Bogota, D.C.",11.04
892,"Bogota, D.C.",11.04
899,"Bogota, D.C.",11.04
1101,"Bogota, D.C.",11.04
1102,"Bogota, D.C.",11.04
1103,"Bogota, D.C.",11.04
1104,"Bogota, D.C.",11.04
1200,"Bogota, D.C.",11.04
1311,"Bogota, D.C.",11.04
1312,"Bogota, D.C.",11.04
1313,"Bogota, D.C.",11.04
1391,"Bogota, D.C.",11.04
1392,"Bogota, D.C.",11.04
1393,"Bogota, D.C.",11.04
1394,"Bogota, D.C.",11.04
1399,"Bogota, D.C.",11.04
1511,"Bogota, D.C.",11.04
1512,"Bogota, D.C.",11.04
1513,"Bogota, D.C.",11.04
1523,"Bogota, D.C.",11.04
1610,"Bogota, D.C.",11.04
1620,"Bogota, D.C.",11.04
1630,"Bogota, D.C.",11.04
1640,"Bogota, D.C.",11.04
1690,"Bogota, D.C.",11.04
1701,"Bogota, D.C.",11.04
1702,"Bogota, D.C.",11.04
1709,"Bogota, D.C.",11.04
1910,"Bogota, D.C.",11.04
1921,"Bogota, D.C.",11.04
1922,"Bogota, D.C.",11.04
2011,"Bogota, D.C.",11.04
2012,"Bogota, D.C.",11.04
2013,"Bogota, D.C.",11.04
2014,"Bogota, D.C.",11.04
2021,"Bogota, D.C.",11.04
2022,"Bogota, D.C.",11.04
2023,"Bogota, D.C.",11.04
2029,"Bogota, D.C.",11.04
2030,"Bogota, D.C.",11.04
2100,"Bogota, D.C.",11.04
2211,"Bogota, D.C.",11.04
2212,"Bogota, D.C.",11.04
2219,"Bogota, D.C.",11.04
2221,"Bogota, D.C.",11.04
2229,"Bogota, D.C.",11.04
2310,"Bogota, D.C.",11.04
2391,"Bogota, D.C.",11.04
2392,"Bogota, D.C.",11.04
2393,"Bogota, D.C.",11.04
2394,"Bogota, D.C.",11.04
2395,"Bogota, D.C.",11.04
2396,"Bogota, D.C.",11.04
2399,"Bogota, D.C.",11.04
2421,"Bogota, D.C.",11.04
2429,"Bogota, D.C.",11.04
2511,"Bogota, D.C.",11.04
2512,"Bogota, D.C.",11.04
2513,"Bogota, D.C.",11.04
2520,"Bogota, D.C.",11.04
2591,"Bogota, D.C.",11.04
2593,"Bogota, D.C.",11.04
2599,"Bogota, D.C.",11.04
2610,"Bogota, D.C.",11.04
2620,"Bogota, D.C.",11.04
2630,"Bogota, D.C.",11.04
2640,"Bogota, D.C.",11.04
2651,"Bogota, D.C.",11.04
2652,"Bogota, D.C.",11.04
2660,"Bogota, D.C.",11.04
2670,"Bogota, D.C.",11.04
2680,"Bogota, D.C.",11.04
2711,"Bogota, D.C.",11.04
2712,"Bogota, D.C.",11.04
2720,"Bogota, D.C.",11.04
2731,"Bogota, D.C.",11.04
2732,"Bogota, D.C.",11.04
