id,state_id,create_uid,write_uid
res_country_state_city_1,646,1,1
res_country_state_city_2,646,1,1
res_country_state_city_3,646,1,1
res_country_state_city_4,646,1,1
res_country_state_city_5,646,1,1
res_country_state_city_6,646,1,1
res_country_state_city_7,646,1,1
res_country_state_city_8,646,1,1
res_country_state_city_9,646,1,1
res_country_state_city_10,646,1,1
res_country_state_city_11,646,1,1
res_country_state_city_12,646,1,1
res_country_state_city_13,646,1,1
res_country_state_city_14,646,1,1
res_country_state_city_15,646,1,1
res_country_state_city_16,646,1,1
res_country_state_city_17,646,1,1
res_country_state_city_18,646,1,1
res_country_state_city_19,646,1,1
res_country_state_city_20,646,1,1
res_country_state_city_21,646,1,1
res_country_state_city_22,646,1,1
res_country_state_city_23,646,1,1
res_country_state_city_24,646,1,1
res_country_state_city_25,646,1,1
res_country_state_city_26,646,1,1
res_country_state_city_27,646,1,1
res_country_state_city_28,646,1,1
res_country_state_city_29,646,1,1
res_country_state_city_30,646,1,1
res_country_state_city_31,646,1,1
res_country_state_city_32,646,1,1
res_country_state_city_33,646,1,1
res_country_state_city_34,646,1,1
res_country_state_city_35,646,1,1
res_country_state_city_36,646,1,1
res_country_state_city_37,646,1,1
res_country_state_city_38,646,1,1
res_country_state_city_39,646,1,1
res_country_state_city_40,646,1,1
res_country_state_city_41,646,1,1
res_country_state_city_42,646,1,1
res_country_state_city_43,646,1,1
res_country_state_city_44,646,1,1
res_country_state_city_45,646,1,1
res_country_state_city_46,646,1,1
res_country_state_city_47,646,1,1
res_country_state_city_48,646,1,1
res_country_state_city_49,646,1,1
res_country_state_city_50,646,1,1
res_country_state_city_51,646,1,1
res_country_state_city_52,646,1,1
res_country_state_city_53,646,1,1
res_country_state_city_54,646,1,1
res_country_state_city_55,646,1,1
res_country_state_city_56,646,1,1
res_country_state_city_57,646,1,1
res_country_state_city_58,646,1,1
res_country_state_city_59,646,1,1
res_country_state_city_60,646,1,1
res_country_state_city_61,646,1,1
res_country_state_city_62,646,1,1
res_country_state_city_63,646,1,1
res_country_state_city_64,646,1,1
res_country_state_city_65,646,1,1
res_country_state_city_66,646,1,1
res_country_state_city_67,646,1,1
res_country_state_city_68,646,1,1
res_country_state_city_69,646,1,1
res_country_state_city_70,646,1,1
res_country_state_city_71,646,1,1
res_country_state_city_72,646,1,1
res_country_state_city_73,646,1,1
res_country_state_city_74,646,1,1
res_country_state_city_75,646,1,1
res_country_state_city_76,646,1,1
res_country_state_city_77,646,1,1
res_country_state_city_78,646,1,1
res_country_state_city_79,646,1,1
res_country_state_city_80,646,1,1
res_country_state_city_81,646,1,1
res_country_state_city_82,646,1,1
res_country_state_city_83,646,1,1
res_country_state_city_84,646,1,1
res_country_state_city_85,646,1,1
res_country_state_city_86,646,1,1
res_country_state_city_87,646,1,1
res_country_state_city_88,646,1,1
res_country_state_city_89,646,1,1
res_country_state_city_90,646,1,1
res_country_state_city_91,646,1,1
res_country_state_city_92,646,1,1
res_country_state_city_93,646,1,1
res_country_state_city_94,646,1,1
res_country_state_city_95,646,1,1
res_country_state_city_96,646,1,1
res_country_state_city_97,646,1,1
res_country_state_city_98,646,1,1
res_country_state_city_99,646,1,1
res_country_state_city_100,646,1,1
res_country_state_city_101,646,1,1
res_country_state_city_102,646,1,1
res_country_state_city_103,646,1,1
res_country_state_city_104,646,1,1
res_country_state_city_105,646,1,1
res_country_state_city_106,646,1,1
res_country_state_city_107,646,1,1
res_country_state_city_108,646,1,1
res_country_state_city_109,646,1,1
res_country_state_city_110,646,1,1
res_country_state_city_111,646,1,1
res_country_state_city_112,646,1,1
res_country_state_city_113,646,1,1
res_country_state_city_114,646,1,1
res_country_state_city_115,646,1,1
res_country_state_city_116,646,1,1
res_country_state_city_117,646,1,1
res_country_state_city_118,646,1,1
res_country_state_city_119,646,1,1
res_country_state_city_120,646,1,1
res_country_state_city_121,646,1,1
res_country_state_city_122,646,1,1
res_country_state_city_123,646,1,1
res_country_state_city_124,646,1,1
res_country_state_city_125,646,1,1
res_country_state_city_126,647,1,1
res_country_state_city_127,647,1,1
res_country_state_city_128,647,1,1
res_country_state_city_129,647,1,1
res_country_state_city_130,647,1,1
res_country_state_city_131,647,1,1
res_country_state_city_132,647,1,1
res_country_state_city_133,647,1,1
res_country_state_city_134,647,1,1
res_country_state_city_135,647,1,1
res_country_state_city_136,647,1,1
res_country_state_city_137,647,1,1
res_country_state_city_138,647,1,1
res_country_state_city_139,647,1,1
res_country_state_city_140,647,1,1
res_country_state_city_141,647,1,1
res_country_state_city_142,647,1,1
res_country_state_city_143,647,1,1
res_country_state_city_144,647,1,1
res_country_state_city_145,647,1,1
res_country_state_city_146,647,1,1
res_country_state_city_147,647,1,1
res_country_state_city_148,647,1,1
res_country_state_city_149,648,1,1
res_country_state_city_150,649,1,1
res_country_state_city_151,649,1,1
res_country_state_city_152,649,1,1
res_country_state_city_153,649,1,1
res_country_state_city_154,649,1,1
res_country_state_city_155,649,1,1
res_country_state_city_156,649,1,1
res_country_state_city_157,649,1,1
res_country_state_city_158,649,1,1
res_country_state_city_159,649,1,1
res_country_state_city_160,649,1,1
res_country_state_city_161,649,1,1
res_country_state_city_162,649,1,1
res_country_state_city_163,649,1,1
res_country_state_city_164,649,1,1
res_country_state_city_165,649,1,1
res_country_state_city_166,649,1,1
res_country_state_city_167,649,1,1
res_country_state_city_168,649,1,1
res_country_state_city_169,649,1,1
res_country_state_city_170,649,1,1
res_country_state_city_171,649,1,1
res_country_state_city_172,649,1,1
res_country_state_city_173,649,1,1
res_country_state_city_174,649,1,1
res_country_state_city_175,649,1,1
res_country_state_city_176,649,1,1
res_country_state_city_177,649,1,1
res_country_state_city_178,649,1,1
res_country_state_city_179,649,1,1
res_country_state_city_180,649,1,1
res_country_state_city_181,649,1,1
