id,country_id,write_uid,create_uid
res_country_state_212,114,1,1
res_country_state_248,185,1,1
res_country_state_249,185,1,1
res_country_state_203,114,1,1
res_country_state_216,114,1,1
res_country_state_250,185,1,1
res_country_state_224,114,1,1
res_country_state_251,185,1,1
res_country_state_252,185,1,1
res_country_state_646,50,1,1
res_country_state_202,114,1,1
res_country_state_245,114,1,1
res_country_state_253,185,1,1
res_country_state_254,185,1,1
res_country_state_208,114,1,1
res_country_state_255,185,1,1
res_country_state_214,114,1,1
res_country_state_647,50,1,1
res_country_state_239,114,1,1
res_country_state_256,185,1,1
res_country_state_210,114,1,1
res_country_state_257,185,1,1
res_country_state_648,50,1,1
res_country_state_258,185,1,1
res_country_state_235,114,1,1
res_country_state_204,114,1,1
res_country_state_259,185,1,1
res_country_state_260,185,1,1
res_country_state_243,114,1,1
res_country_state_649,50,1,1
res_country_state_261,185,1,1
res_country_state_219,114,1,1
res_country_state_650,50,1,1
res_country_state_262,185,1,1
res_country_state_229,114,1,1
res_country_state_242,114,1,1
res_country_state_263,185,1,1
res_country_state_264,185,1,1
res_country_state_215,114,1,1
res_country_state_651,50,1,1
res_country_state_265,185,1,1
res_country_state_206,114,1,1
res_country_state_652,50,1,1
res_country_state_247,114,1,1
res_country_state_653,50,1,1
res_country_state_226,114,1,1
res_country_state_266,185,1,1
res_country_state_654,50,1,1
res_country_state_209,114,1,1
res_country_state_238,114,1,1
res_country_state_201,114,1,1
res_country_state_655,50,1,1
res_country_state_223,114,1,1
res_country_state_656,50,1,1
res_country_state_236,114,1,1
res_country_state_222,114,1,1
res_country_state_657,50,1,1
res_country_state_233,114,1,1
res_country_state_213,114,1,1
res_country_state_228,114,1,1
res_country_state_244,114,1,1
res_country_state_267,185,1,1
res_country_state_241,114,1,1
res_country_state_237,114,1,1
res_country_state_231,114,1,1
res_country_state_211,114,1,1
res_country_state_246,114,1,1
res_country_state_240,114,1,1
res_country_state_217,114,1,1
res_country_state_205,114,1,1
res_country_state_220,114,1,1
res_country_state_207,114,1,1
res_country_state_234,114,1,1
res_country_state_658,50,1,1
res_country_state_227,114,1,1
res_country_state_221,114,1,1
res_country_state_230,114,1,1
res_country_state_659,50,1,1
res_country_state_225,114,1,1
res_country_state_218,114,1,1
res_country_state_232,114,1,1
res_country_state_660,50,1,1
res_country_state_661,50,1,1
res_country_state_662,50,1,1
res_country_state_663,50,1,1
res_country_state_664,50,1,1
res_country_state_665,50,1,1
res_country_state_666,50,1,1
res_country_state_667,50,1,1
res_country_state_668,50,1,1
res_country_state_669,50,1,1
res_country_state_670,50,1,1
res_country_state_671,50,1,1
res_country_state_672,50,1,1
res_country_state_673,50,1,1
res_country_state_674,50,1,1
res_country_state_675,50,1,1
res_country_state_676,50,1,1
res_country_state_677,50,1,1
res_country_state_678,50,1,1
res_country_state_568,11,1,1
res_country_state_419,69,1,1
res_country_state_68,235,1,1
res_country_state_532,39,1,1
res_country_state_418,69,1,1
res_country_state_612,101,1,1
res_country_state_71,32,1,1
res_country_state_1,14,1,1
res_country_state_98,192,1,1
res_country_state_69,235,1,1
res_country_state_306,110,1,1
res_country_state_484,157,1,1
res_country_state_546,2,1,1
res_country_state_10,235,1,1
res_country_state_307,110,1,1
res_country_state_99,192,1,1
res_country_state_72,32,1,1
res_country_state_9,235,1,1
res_country_state_420,69,1,1
res_country_state_100,192,1,1
res_country_state_273,66,1,1
res_country_state_74,32,1,1
res_country_state_101,192,1,1
res_country_state_308,110,1,1
res_country_state_576,105,1,1
res_country_state_309,110,1,1
res_country_state_73,32,1,1
res_country_state_70,235,1,1
res_country_state_311,110,1,1
res_country_state_577,105,1,1
res_country_state_350,110,1,1
res_country_state_310,110,1,1
res_country_state_578,105,1,1
res_country_state_12,235,1,1
res_country_state_102,192,1,1
res_country_state_579,105,1,1
res_country_state_60,235,1,1
res_country_state_285,66,1,1
res_country_state_103,192,1,1
res_country_state_286,66,1,1
res_country_state_312,110,1,1
res_country_state_516,172,1,1
res_country_state_313,110,1,1
res_country_state_422,69,1,1
res_country_state_179,91,1,1
res_country_state_545,2,1,1
res_country_state_11,235,1,1
res_country_state_425,69,1,1
res_country_state_553,11,1,1
res_country_state_269,66,1,1
res_country_state_314,110,1,1
res_country_state_104,192,1,1
res_country_state_423,69,1,1
res_country_state_613,101,1,1
res_country_state_75,32,1,1
res_country_state_614,101,1,1
res_country_state_485,157,1,1
res_country_state_533,39,1,1
res_country_state_486,157,1,1
res_country_state_616,101,1,1
res_country_state_105,192,1,1
res_country_state_318,110,1,1
res_country_state_270,66,1,1
res_country_state_465,69,1,1
res_country_state_319,110,1,1
res_country_state_316,110,1,1
res_country_state_317,110,1,1
res_country_state_287,66,1,1
res_country_state_320,110,1,1
res_country_state_517,172,1,1
res_country_state_323,110,1,1
res_country_state_580,105,1,1
res_country_state_106,192,1,1
res_country_state_322,110,1,1
res_country_state_615,101,1,1
res_country_state_315,110,1,1
res_country_state_107,192,1,1
res_country_state_426,69,1,1
res_country_state_681,50,1,1
res_country_state_180,91,1,1
res_country_state_321,110,1,1
res_country_state_552,11,1,1
res_country_state_416,69,1,1
res_country_state_278,66,1,1
res_country_state_13,235,1,1
res_country_state_428,69,1,1
res_country_state_324,110,1,1
res_country_state_489,157,1,1
res_country_state_518,172,1,1
res_country_state_326,110,1,1
res_country_state_427,69,1,1
res_country_state_108,192,1,1
res_country_state_328,110,1,1
res_country_state_431,69,1,1
res_country_state_76,32,1,1
res_country_state_582,105,1,1
res_country_state_331,110,1,1
res_country_state_581,105,1,1
res_country_state_109,192,1,1
res_country_state_487,157,1,1
res_country_state_491,157,1,1
res_country_state_110,192,1,1
res_country_state_327,110,1,1
res_country_state_325,110,1,1
res_country_state_181,91,1,1
res_country_state_336,110,1,1
res_country_state_14,235,1,1
res_country_state_433,69,1,1
res_country_state_332,110,1,1
res_country_state_490,157,1,1
res_country_state_488,157,1,1
res_country_state_182,91,1,1
res_country_state_432,69,1,1
res_country_state_334,110,1,1
res_country_state_430,69,1,1
res_country_state_333,110,1,1
res_country_state_329,110,1,1
res_country_state_15,235,1,1
res_country_state_111,192,1,1
res_country_state_434,69,1,1
res_country_state_330,110,1,1
res_country_state_570,11,1,1
res_country_state_112,192,1,1
res_country_state_17,235,1,1
res_country_state_584,105,1,1
res_country_state_16,235,1,1
res_country_state_77,32,1,1
res_country_state_492,157,1,1
res_country_state_493,157,1,1
res_country_state_268,66,1,1
res_country_state_585,105,1,1
res_country_state_583,105,1,1
res_country_state_289,66,1,1
res_country_state_547,2,1,1
res_country_state_559,11,1,1
res_country_state_297,250,1,1
res_country_state_337,110,1,1
res_country_state_183,91,1,1
res_country_state_78,32,1,1
res_country_state_184,91,1,1
res_country_state_563,11,1,1
res_country_state_342,110,1,1
res_country_state_339,110,1,1
res_country_state_341,110,1,1
res_country_state_340,110,1,1
res_country_state_18,235,1,1
res_country_state_61,235,1,1
res_country_state_338,110,1,1
res_country_state_343,110,1,1
res_country_state_298,250,1,1
res_country_state_548,2,1,1
res_country_state_271,66,1,1
res_country_state_573,11,1,1
res_country_state_19,235,1,1
res_country_state_586,105,1,1
res_country_state_443,69,1,1
res_country_state_344,110,1,1
res_country_state_272,66,1,1
res_country_state_435,69,1,1
res_country_state_519,172,1,1
res_country_state_587,105,1,1
res_country_state_345,110,1,1
res_country_state_617,101,1,1
res_country_state_79,32,1,1
res_country_state_436,69,1,1
res_country_state_346,110,1,1
res_country_state_494,157,1,1
res_country_state_299,250,1,1
res_country_state_495,157,1,1
res_country_state_62,235,1,1
res_country_state_437,69,1,1
res_country_state_185,91,1,1
res_country_state_275,66,1,1
res_country_state_439,69,1,1
res_country_state_555,11,1,1
res_country_state_496,157,1,1
res_country_state_20,235,1,1
res_country_state_520,172,1,1
res_country_state_589,105,1,1
res_country_state_588,105,1,1
res_country_state_290,66,1,1
res_country_state_440,69,1,1
res_country_state_186,91,1,1
res_country_state_24,235,1,1
res_country_state_21,235,1,1
res_country_state_22,235,1,1
res_country_state_347,110,1,1
res_country_state_113,192,1,1
res_country_state_23,235,1,1
res_country_state_114,192,1,1
res_country_state_348,110,1,1
