seq,field,type,src,dest,company_id
105,account_id,value,140501,140505,Lacteos Del Cesar S.A.
106,account_id,value,140502,140510,Lacteos Del Cesar S.A.
110,account_id,value,143510,143505,Lacteos Del Cesar S.A.
111,account_id,value,143515,143505,Lacteos Del Cesar S.A.
112,account_id,value,145501,145525,Lacteos Del Cesar S.A.
113,account_id,value,145502,145565,Lacteos Del Cesar S.A.
114,account_id,value,145503,145555,Lacteos Del Cesar S.A.
115,account_id,value,145504,145570,Lacteos Del Cesar S.A.
116,account_id,value,145506,145575,Lacteos Del Cesar S.A.
117,account_id,value,145508,145580,Lacteos Del Cesar S.A.
118,account_id,value,145512,145585,Lacteos Del Cesar S.A.
125,account_id,value,146001,146005,Lacteos Del Cesar S.A.
126,account_id,value,146501,146505,Lacteos Del Cesar S.A.
127,account_id,value,146502,146505,Lacteos Del Cesar S.A.
129,account_id,value,149590,146595,Lacteos Del Cesar S.A.
130,account_id,value,14102001,143020,Lacteos Del Cesar S.A.
137,account_id,value,158801,158805,Lacteos Del Cesar S.A.
140,account_id,value,159236,159235,Lacteos Del Cesar S.A.
141,account_id,value,159237,159235,Lacteos Del Cesar S.A.
142,account_id,value,159238,159235,Lacteos Del Cesar S.A.
145,account_id,value,163501,163505,Lacteos Del Cesar S.A.
152,account_id,value,210511,210510,Lacteos Del Cesar S.A.
153,account_id,value,211506,211505,Lacteos Del Cesar S.A.
156,account_id,value,236506,236595,Lacteos Del Cesar S.A.
157,account_id,value,236585,236575,Lacteos Del Cesar S.A.
158,account_id,value,236601,236570,Lacteos Del Cesar S.A.
159,account_id,value,236701,236705,Lacteos Del Cesar S.A.
160,account_id,value,236703,236705,Lacteos Del Cesar S.A.
161,account_id,value,236801,236805,Lacteos Del Cesar S.A.
162,account_id,value,236802,236805,Lacteos Del Cesar S.A.
163,account_id,value,236803,236805,Lacteos Del Cesar S.A.
164,account_id,value,236804,236805,Lacteos Del Cesar S.A.
165,account_id,value,236806,236805,Lacteos Del Cesar S.A.
169,account_id,value,240801,240805,Lacteos Del Cesar S.A.
170,account_id,value,240802,240805,Lacteos Del Cesar S.A.
171,account_id,value,240810,240805,Lacteos Del Cesar S.A.
172,account_id,value,241005,249595,Lacteos Del Cesar S.A.
173,account_id,value,241010,249595,Lacteos Del Cesar S.A.
175,account_id,value,244801,244805,Lacteos Del Cesar S.A.
176,account_id,value,244802,244805,Lacteos Del Cesar S.A.
177,account_id,value,251001,251005,Lacteos Del Cesar S.A.
179,account_id,value,259501,259505,Lacteos Del Cesar S.A.
180,account_id,value,2605 F,260595,Lacteos Del Cesar S.A.
181,account_id,value,2610 F,261095,Lacteos Del Cesar S.A.
184,account_id,value,271215,271505,Lacteos Del Cesar S.A.
185,account_id,value,271218,272595,Lacteos Del Cesar S.A.
187,account_id,value,371504,371505,Lacteos Del Cesar S.A.
188,account_id,value,371516,371515,Lacteos Del Cesar S.A.
